basic_tfactortx_id;basic_gene_symbol;basic_ensembl_gene_id;basic_hgnc_id;basic_ncbi_gene_id;basic_protein_name;basic_uniprot_id;basic_jaspar_url;basic_open_targets_url;basic_tf_superclass;basic_tf_class;basic_tf_family;sort_disease_ot_ard_aging_sum_rank;sort_disease_ot_ard_aging_overall_rank;sort_disease_ot_total_assoc_score_rank;sort_disease_ot_ard_total_assoc_count_score_rank;sort_aging_summary_total_db_entries_count_rank;sort_dev_summary_dev_level_category;disease_ot_total_assoc_count;disease_ot_total_assoc_score;disease_ot_total_assoc_count_norm;disease_ot_total_assoc_score_norm;disease_ot_lowconf_count;disease_ot_lowconf_score;disease_ot_lowconf_count_norm;disease_ot_lowconf_score_norm;disease_ot_modconf_count;disease_ot_modconf_score;disease_ot_modconf_count_norm;disease_ot_modconf_score_norm;disease_ot_hiconf_count;disease_ot_hiconf_score;disease_ot_hiconf_count_norm;disease_ot_hiconf_score_norm;disease_ot_ard_disease_count;disease_ot_ard_total_score;disease_ot_ard_disease_count_norm;disease_ot_ard_total_score_norm;disease_ot_ard_strongest_linked_disease;disease_age-related hearing impairment;disease_age-related macular degeneration;disease_Alzheimer disease;disease_atherosclerosis;disease_benign prostatic hyperplasia;disease_cancer;disease_chronic obstructive pulmonary disease;disease_heart failure;disease_Ischemic stroke;disease_myocardial infarction;disease_non-alcoholic fatty liver disease;disease_osteoarthritis;disease_Osteoporosis;disease_Parkinson disease;disease_sarcopenia;disease_type 2 diabetes mellitus;aging_summary_total_db_entries_count;aging_summary_total_db_entries_count_norm;aging_summary_human;aging_summary_mm_influence;aging_summary_ce_influence;aging_summary_dm_influence;aging_PMID35343830_ce;aging_PMID35343830_dm;aging_PMID35343830_mm;aging_PMID35343830_human;aging_hagr_genage_human_inclusion;aging_hagr_genage_ce_influence;aging_hagr_genage_dm_influence;aging_hagr_genage_mm_influence;aging_hagr_cellage_effect;aging_hagr_longevitymap_entries;aging_agingreg_human_influence;aging_senequest_total_entries;aging_opengenes_ce_influence;aging_opengenes_dm_influence;aging_opengenes_mm_influence;aging_opengenes_human_longevity_assoc;dev_summary_total_db_entries_count;dev_summary_dev_level_category;dev_summary_dev_level_category_note;dev_pharos_tcrd_tdl;dev_dgidb_all_drugs;dev_dgidb_MOA_drugs;dev_ttd_approved_drugs;dev_chembl_target_id;dev_chembl_target_name;dev_chembl_target_type;dev_chembl_compounds;dev_chembl_activites;dev_chembl_drug_count;dev_chembl_max_phase;dev_chembl_modality_list;dev_chembl_first_approval_min
TFTX_0309;GLIS3;ENSG00000107249;HGNC:28510;169792;Zinc finger protein GLIS3 (GLI-similar 3) (Zinc finger protein 515);Q8NEA6;https://jaspar.elixir.no/search?q=Q8NEA6;https://platform.opentargets.org/target/ENSG00000107249;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;546;106;97;11;438;5_None;308;50.25;0.1;0.19;188;3.71;0.07;0.05;102;36.83;0.21;0.25;18;9.71;0.18;0.17;6;1.95;0.38;0.49;Type 2 Diabetes Mellitus;#N/A;#N/A;0.382007696;0.003695799;#N/A;0.027852361;0.45994468;#N/A;#N/A;#N/A;#N/A;0.477390707;#N/A;#N/A;#N/A;0.596694961;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0861;SOX9;ENSG00000125398;HGNC:11204;6662;Transcription factor SOX-9;P48436;https://jaspar.elixir.no/search?q=P48436;https://platform.opentargets.org/target/ENSG00000125398;4 Other all-alpha-helical DNA-binding domains;4.1 High-mobility group (HMG) domain factors;4.1.1 SOX-related;651;136;98;115;438;5_None;1147;49.86;0.37;0.18;1073;24.94;0.42;0.34;67;20.84;0.14;0.14;7;4.08;0.07;0.07;13;0.78;0.81;0.2;Alzheimer Disease;#N/A;0.022174791;0.252829168;0.01784003;0.0122372;0.114161274;0.017504624;0.009740072;#N/A;0.012155719;0.011812068;0.050522397;0.012182777;0.23419908;#N/A;0.00784424;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;9;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0802;SATB2;ENSG00000119042;HGNC:21637;23314;DNA-binding protein SATB2 (Special AT-rich sequence-binding protein 2);Q9UPW6;#N/A;https://platform.opentargets.org/target/ENSG00000119042;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.9 HD-CUT;694;148;99;512;83;5_None;906;49.76;0.29;0.18;830;23.62;0.32;0.32;68;21.49;0.14;0.14;8;4.65;0.08;0.08;10;0.17;0.63;0.04;Cancer;#N/A;#N/A;0.005067201;0.012565715;#N/A;0.053516967;0.012750505;#N/A;0.002217479;#N/A;0.007761177;0.002904144;0.043624692;0.020142102;#N/A;0.004619748;3;0.2;Y;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;Pro-Longevity;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0110;CIC;ENSG00000079432;HGNC:14214;23152;Protein capicua homolog;Q96RK0;#N/A;https://platform.opentargets.org/target/ENSG00000079432;4 Other all-alpha-helical DNA-binding domains;4.1 High-mobility group (HMG) domain factors;4.1.1 SOX-related;1625;523;100;1087;438;4_Low;312;49.71;0.1;0.18;191;13.04;0.07;0.18;118;34.75;0.25;0.23;3;1.92;0.03;0.03;3;0.02;0.19;0;Cancer;#N/A;#N/A;#N/A;#N/A;#N/A;0.013588054;#N/A;#N/A;#N/A;#N/A;0.001478319;#N/A;0.003695799;#N/A;#N/A;#N/A;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tbio;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1361;ZNF521;ENSG00000198795;HGNC:24605;25925;Zinc finger protein 521 (Early hematopoietic zinc finger protein) (LYST-interacting protein 3);Q96K83;#N/A;https://platform.opentargets.org/target/ENSG00000198795;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.4 Factors with multiple dispersed zinc fingers;1404;433;101;865;438;5_None;255;49.68;0.08;0.18;125;9.45;0.05;0.13;129;39.7;0.27;0.27;1;0.53;0.01;0.01;4;0.05;0.25;0.01;Cancer;#N/A;#N/A;0.001478319;#N/A;#N/A;0.038735211;#N/A;#N/A;#N/A;#N/A;#N/A;0.008869917;0.001478319;#N/A;#N/A;#N/A;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1068;ZEB2;ENSG00000169554;HGNC:14881;9839;Zinc finger E-box-binding homeobox 2 (Smad-interacting protein 1) (SMADIP1) (Zinc finger homeobox protein 1b);O60315;#N/A;https://platform.opentargets.org/target/ENSG00000169554;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.8 HD-ZF;355;57;102;71;182;5_None;555;49.65;0.18;0.18;462;12.22;0.18;0.17;78;29.36;0.16;0.2;15;8.08;0.15;0.14;11;0.96;0.69;0.24;Type 2 Diabetes Mellitus;#N/A;#N/A;0.013489665;0.009403754;0.013623124;0.09839051;0.017988254;0.335787665;0.007761177;0.021230309;0.003695799;0.017904091;#N/A;#N/A;#N/A;0.424615803;2;0.13;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Pro-Longevity;5;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0604;NFKB2;ENSG00000077150;HGNC:7795;4791;Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit];Q00653;https://jaspar.elixir.no/search?q=Q00653;https://platform.opentargets.org/target/ENSG00000077150;6 Immunoglobulin fold;6.1 Rel homology region (RHR) factors;6.1.1 NFkappaB-related;227;31;103;93;31;2_Medium;858;49.6;0.28;0.18;787;27.17;0.31;0.37;69;21.12;0.14;0.14;2;1.3;0.02;0.02;13;0.89;0.81;0.23;Alzheimer Disease;#N/A;0.002956639;0.372930152;0.009209507;#N/A;0.051516101;0.008333615;0.001847899;#N/A;0.001478319;0.00518192;0.004434958;0.019189064;0.37199239;0.002956639;0.042307295;5;0.33;Y;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;functional;#N/A;#N/A;Pro-Longevity;Inhibits;#N/A;Pro-Longevity;3;#N/A;#N/A;#N/A;#N/A;11;2_Medium;At least 2/3 Pharos Tchem, DGIDB MOA >0, ChEMBL max phase >0;Tchem;38;1;#N/A;CHEMBL2094258;Nuclear factor NF-kappa-B complex;PROTEIN COMPLEX GROUP;1908;2351;1;3;Small molecule;#N/A
TFTX_0560;MYCN;ENSG00000134323;HGNC:7559;4613;N-myc proto-oncogene protein (Class E basic helix-loop-helix protein 37) (bHLHe37);P04198;https://jaspar.elixir.no/search?q=P04198;https://platform.opentargets.org/target/ENSG00000134323;1 Basic domains;1.2 Basic helix-loop-helix factors (bHLH);1.2.6 bHLH-ZIP;398;66;104;242;52;4_Low;572;49.44;0.18;0.18;469;18.24;0.18;0.25;99;28.77;0.21;0.19;4;2.42;0.04;0.04;10;0.5;0.63;0.13;Type 2 Diabetes Mellitus;#N/A;#N/A;0.038857215;#N/A;0.027718489;0.102862581;0.022316956;0.017370253;0.002217479;#N/A;#N/A;0.002956639;#N/A;0.028827229;0.003695799;0.250728712;4;0.27;Y;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Anti-Longevity;#N/A;Inhibits;#N/A;Pro-Longevity;3;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tbio;23;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0892;STAT5B;ENSG00000173757;HGNC:11367;6777;Signal transducer and activator of transcription 5B;P51692;#N/A;https://platform.opentargets.org/target/ENSG00000173757;6 Immunoglobulin fold;6.2 STAT domain factors;6.2.1 STAT;219;28;105;100;14;4_Low;799;49.07;0.26;0.18;698;17.03;0.27;0.23;98;29.94;0.2;0.2;3;2.11;0.03;0.04;11;0.86;0.69;0.22;Cancer;#N/A;#N/A;0.088627628;0.041862721;0.010489498;0.610002693;0.026590311;0.008330946;0.034890802;#N/A;0.015401022;0.004229636;0.001478319;#N/A;#N/A;0.015327092;7;0.47;Y;Pro-Longevity;#N/A;Pro-Longevity;#N/A;#N/A;Pro-Longevity;Unclear;downstream;#N/A;Pro-Longevity;#N/A;Induces;#N/A;#N/A;4;#N/A;Pro-Longevity;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tchem;7;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0766;REL;ENSG00000162924;HGNC:9954;5966;Proto-oncogene c-Rel;Q04864;https://jaspar.elixir.no/search?q=Q04864;https://platform.opentargets.org/target/ENSG00000162924;6 Immunoglobulin fold;6.1 Rel homology region (RHR) factors;6.1.0 Uncharacterized/Undefined;818;200;106;274;438;5_None;681;48.82;0.22;0.18;598;24.65;0.23;0.33;83;24.17;0.17;0.16;#N/A;#N/A;#N/A;#N/A;11;0.44;0.69;0.11;Type 2 Diabetes Mellitus;#N/A;0.012935295;0.013999603;0.015832378;0.006652437;0.035090251;0.007915169;#N/A;0.002771849;0.004434958;#N/A;#N/A;0.001847899;0.087274373;#N/A;0.246382622;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0701;PITX2;ENSG00000164093;HGNC:9005;5308;Pituitary homeobox 2 (ALL1-responsive protein ARP1) (Homeobox protein PITX2) (Paired-like homeodomain transcription factor 2) (RIEG bicoid-related homeobox transcription factor) (Solurshin);Q99697;https://jaspar.elixir.no/search?q=Q99697;https://platform.opentargets.org/target/ENSG00000164093;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.3 Paired-related HD;566;112;107;21;438;5_None;842;48.67;0.27;0.18;772;23.97;0.3;0.32;61;19.04;0.13;0.13;9;5.65;0.09;0.1;12;1.66;0.75;0.42;Chronic Obstructive Pulmonary Disease;#N/A;#N/A;0.274923533;0.003980157;0.005174118;0.058396023;0.456979853;0.446394684;0.34302281;0.010056746;0.041313484;0.002217479;#N/A;0.007947404;#N/A;0.01384015;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0077;BNC2;ENSG00000173068;HGNC:30988;54796;Zinc finger protein basonuclin-2;Q6ZN30;https://jaspar.elixir.no/search?q=Q6ZN30;https://platform.opentargets.org/target/ENSG00000173068;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.4 Factors with multiple dispersed zinc fingers;745;163;108;199;438;5_None;257;47.91;0.08;0.18;136;4.94;0.05;0.07;116;40.12;0.24;0.27;5;2.86;0.05;0.05;4;0.56;0.25;0.14;Cancer;#N/A;#N/A;#N/A;#N/A;#N/A;0.288717226;0.262596441;#N/A;#N/A;#N/A;0.007391597;#N/A;#N/A;#N/A;#N/A;0.002217479;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0207;ESR2;ENSG00000140009;HGNC:3468;2100;Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2);Q92731;https://jaspar.elixir.no/search?q=Q92731;https://platform.opentargets.org/target/ENSG00000140009;2 Zinc-coordinating DNA-binding domains;2.1 Nuclear receptors with C4 zinc fingers;2.1.1 Steroid hormone receptors;314;51;109;23;182;1_High;977;47.51;0.31;0.18;908;22.67;0.36;0.31;60;19.86;0.12;0.13;9;4.98;0.09;0.09;16;1.52;1;0.39;Cancer;0.005153586;0.002771849;0.394831906;0.023623808;0.094535872;0.451078971;0.052748748;0.011364854;0.015491155;0.268404285;0.004795081;0.023106543;0.062470054;0.083354047;0.002217479;0.025620567;2;0.13;Y;#N/A;Unclear;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Unclear;#N/A;#N/A;#N/A;#N/A;#N/A;3;#N/A;#N/A;#N/A;#N/A;13;1_High;At least 2/3 Pharos Tclin, TTD approved drugs, ChEMBL approved drugs;Tclin;130;60;4;"CHEMBL2093866;CHEMBL242";"Estrogen receptor;Estrogen receptor beta";"PROTEIN FAMILY;SINGLE PROTEIN";"1789;5110";"3070;9511";"25;8";"4;4";"Small molecule;Unknown;Small molecule;Unknown";"1942;1981"
TFTX_0599;NFIB;ENSG00000147862;HGNC:7785;4781;Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein);O00712;https://jaspar.elixir.no/search?q=O00712;https://platform.opentargets.org/target/ENSG00000147862;7 beta-Hairpin exposed by an alpha/beta-scaffold;7.1 SMAD/NF-1 DNA-binding domain factors;7.1.1 SMAD;357;59;110;65;182;4_Low;479;47.32;0.15;0.17;405;21.98;0.16;0.3;71;23.41;0.15;0.16;3;1.93;0.03;0.03;7;1.03;0.44;0.26;Alzheimer Disease;#N/A;#N/A;0.344402833;#N/A;0.014783194;0.04170569;#N/A;#N/A;#N/A;0.011826555;#N/A;#N/A;0.002956639;0.333297173;#N/A;0.278374508;2;0.13;Y;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tbio;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0705;PLAG1;ENSG00000181690;HGNC:9045;5324;Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein);Q6DJT9;https://jaspar.elixir.no/search?q=Q6DJT9;https://platform.opentargets.org/target/ENSG00000181690;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;1547;490;111;268;1168;5_None;939;47.09;0.3;0.17;842;15.8;0.33;0.21;94;29.43;0.2;0.2;3;1.86;0.03;0.03;14;0.44;0.88;0.11;Cancer;#N/A;#N/A;0.029185714;0.002587059;0.11398087;0.116446957;0.023945127;0.001478319;0.001847899;0.01045665;0.021866808;0.00709388;0.009325969;0.029409933;0.011013069;0.065959462;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0790;RUNX2;ENSG00000124813;HGNC:10472;860;Runt-related transcription factor 2 (Acute myeloid leukemia 3 protein) (Core-binding factor subunit alpha-1) (CBF-alpha-1) (Oncogene AML-3) (Osteoblast-specific transcription factor 2) (OSF-2) (Polyomavirus enhancer-binding protein 2 alpha A subunit) (PEA2-alpha A) (PEBP2-alpha A) (SL3-3 enhancer factor 1 alpha A subunit) (SL3/AKV core-binding factor alpha A subunit);Q13950;https://jaspar.elixir.no/search?q=Q13950;https://platform.opentargets.org/target/ENSG00000124813;6 Immunoglobulin fold;6.4 Runt domain factors;6.4.1 Runt-related;624;127;112;74;438;4_Low;1111;46.22;0.36;0.17;1069;31.82;0.42;0.43;38;11.67;0.08;0.08;4;2.74;0.04;0.05;15;0.95;0.94;0.24;Osteoarthritis;#N/A;0.003695799;0.189692266;0.006204033;0.020640008;0.107933611;0.013601565;0.004989328;0.003695799;0.050786432;0.073490839;0.356406178;0.067061916;0.003695799;0.001478319;0.050608128;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;7;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tbio;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0857;SOX5;ENSG00000134532;HGNC:11201;6660;Transcription factor SOX-5;P35711;#N/A;https://platform.opentargets.org/target/ENSG00000134532;4 Other all-alpha-helical DNA-binding domains;4.1 High-mobility group (HMG) domain factors;4.1.1 SOX-related;300;46;113;156;31;5_None;345;45.66;0.11;0.17;222;4.36;0.09;0.06;119;38.98;0.25;0.26;4;2.32;0.04;0.04;7;0.65;0.44;0.17;Osteoarthritis;#N/A;#N/A;0.014577215;#N/A;#N/A;0.080710971;0.012696711;#N/A;0.012196135;#N/A;#N/A;0.450084616;0.005489903;#N/A;#N/A;0.075188968;5;0.33;Y;Unclear;#N/A;#N/A;#N/A;#N/A;Unclear;Unclear;#N/A;#N/A;#N/A;#N/A;Induces;#N/A;Anti-Longevity;3;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0426;IRF1;ENSG00000125347;HGNC:6116;3659;Interferon regulatory factor 1 (IRF-1);P10914;https://jaspar.elixir.no/search?q=P10914;https://platform.opentargets.org/target/ENSG00000125347;3 Helix-turn-helix domains;3.5 Tryptophan cluster factors;3.5.3 IRF;431;75;114;135;182;4_Low;783;44.91;0.25;0.17;713;22.89;0.28;0.31;68;20.85;0.14;0.14;2;1.17;0.02;0.02;14;0.69;0.88;0.18;Chronic Obstructive Pulmonary Disease;#N/A;0.003490476;0.027903924;0.055071332;0.008869917;0.098753656;0.243229712;0.003511009;0.185899667;0.011741963;0.009239496;0.024960981;0.004681345;0.008756989;#N/A;0.007298779;2;0.13;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Induces;#N/A;#N/A;6;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tbio;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0579;NCOA2;ENSG00000140396;HGNC:7669;10499;Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2);Q15596;#N/A;https://platform.opentargets.org/target/ENSG00000140396;1 Basic domains;1.2 Basic helix-loop-helix factors (bHLH);1.2.5 PAS;1406;435;115;853;438;4_Low;408;44.71;0.13;0.16;304;13.84;0.12;0.19;104;30.86;0.22;0.21;#N/A;#N/A;#N/A;#N/A;6;0.05;0.38;0.01;Heart Failure;#N/A;#N/A;#N/A;#N/A;0.004434958;0.016142879;#N/A;0.018478993;#N/A;#N/A;0.009958124;#N/A;0.002217479;#N/A;#N/A;0.002956639;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tbio;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0508;MAX;ENSG00000125952;HGNC:6913;4149;Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X);P61244;https://jaspar.elixir.no/search?q=P61244;https://platform.opentargets.org/target/ENSG00000125952;1 Basic domains;1.2 Basic helix-loop-helix factors (bHLH);1.2.6 bHLH-ZIP;1158;335;116;860;182;5_None;328;44.6;0.11;0.16;227;11.2;0.09;0.15;90;27.04;0.19;0.18;11;6.36;0.11;0.11;7;0.05;0.44;0.01;Cancer;#N/A;#N/A;0.004229636;#N/A;0.003695799;0.034625935;0.001478319;#N/A;#N/A;#N/A;0.001478319;#N/A;0.002956639;#N/A;#N/A;0.002771849;2;0.13;Y;#N/A;Anti-Longevity;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;functional;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0128;CTCF;ENSG00000102974;HGNC:13723;10664;Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog);P49711;https://jaspar.elixir.no/search?q=P49711;https://platform.opentargets.org/target/ENSG00000102974;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;636;131;117;81;438;5_None;471;44.14;0.15;0.16;374;14.33;0.15;0.19;93;27.32;0.19;0.18;4;2.49;0.04;0.04;12;0.93;0.75;0.24;Parkinson Disease;#N/A;#N/A;0.317729507;0.018273671;0.009239496;0.113927401;0.001847899;0.018742945;#N/A;0.007391597;0.075260831;#N/A;0.005913278;0.320495939;0.003695799;0.039845211;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
