Gene Name;Overall Rank;All Diseases Rank;ARDs Rank;Strongest Linked ARD;Aging Rank;Human Link Y/N;M. musculus Link;C. elegans Link;D. melanogaster Link;Development Level;Pharos TDL
SMAD4;39;34;145;Cancer;62;Yes;None;Anti-Longevity;None;Low;Tbio
MITF;40;17;173;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;Low;Tchem
NR3C2;41;91;6;Myocardial Infarction;127;Yes;None;Unclear;None;High;Tclin
SPI1;42;173;57;Alzheimer Disease;62;Yes;None;Anti-Longevity;None;None;Tbio
WT1;43;22;209;Type 2 Diabetes Mellitus;62;Yes;None;Pro-Longevity;None;Medium;Tbio
STAT1;44;124;85;Cancer;127;Yes;None;None;Pro-Longevity;Low;Tchem
MECP2;45;94;117;Cancer;127;Yes;None;None;None;Low;Tchem
SOX5;46;113;156;Osteoarthritis;34;Yes;Unclear;None;None;None;Tbio
DNMT1;46;170;47;Cancer;127;Yes;None;None;None;High;Tclin
RELA;48;236;41;Alzheimer Disease;34;Yes;None;None;None;Medium;Tchem
ARNT;49;164;94;Alzheimer Disease;34;Yes;Pro-Longevity;Pro-Longevity;None;Medium to Low;Tbio
SREBF1;50;266;32;Alzheimer Disease;25;Yes;Unclear;Pro-Longevity;None;Low;Tchem
ESR2;51;109;23;Cancer;127;Yes;None;Unclear;None;High;Tclin
FOXP3;52;89;184;Cancer;62;Yes;None;Anti-Longevity;None;Low;Tbio
EPAS1;53;69;230;Non-Alcoholic Fatty Liver Disease;34;Yes;None;Unclear;Anti-Longevity;High;Tclin
TFEB;54;157;160;Alzheimer Disease;14;Yes;Pro-Longevity;Pro-Longevity;None;None;Tbio
ETV1;55;86;76;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Low;Tbio
CEBPB;56;263;80;Type 2 Diabetes Mellitus;10;Yes;Unclear;None;None;Medium to Low;Tbio
ZEB2;57;102;71;Type 2 Diabetes Mellitus;62;Yes;None;None;None;None;Tbio
PPARD;57;203;69;Type 2 Diabetes Mellitus;127;Yes;None;Unclear;None;Medium;Tchem
NFIB;59;110;65;Alzheimer Disease;127;Yes;None;Pro-Longevity;None;Low;Tbio
E2F1;60;297;40;Alzheimer Disease;25;Yes;None;Anti-Longevity;None;Medium;Tbio
SATB1;61;125;152;Type 2 Diabetes Mellitus;62;Yes;None;Pro-Longevity;None;None;Tbio
SOX4;62;127;161;Type 2 Diabetes Mellitus;127;Yes;Pro-Longevity;None;None;None;Tbio
FOS;63;204;138;Cancer;34;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
FOXM1;64;328;42;Cancer;14;Yes;Pro-Longevity;None;None;Low;Tchem
SPEN;65;70;136;Parkinson Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
MYCN;66;104;242;Type 2 Diabetes Mellitus;62;Yes;None;None;Anti-Longevity;Low;Tbio
NFATC2;67;71;146;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Low;Tbio
HIC1;68;260;59;Alzheimer Disease;62;Yes;None;None;None;None;Tbio
PROX1;69;182;143;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Low;Tbio
ZEB1;70;37;289;Cancer;127;Yes;None;None;None;Low;Tbio
TWIST1;71;136;192;Ischemic Stroke;127;Yes;None;None;None;Low;Tbio
BCL6;72;50;280;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Low;Tchem
FOXA2;73;251;112;Type 2 Diabetes Mellitus;34;Yes;None;Pro-Longevity;Unclear;None;Tbio
TP63;74;24;385;Cancer;14;Yes;Pro-Longevity;None;Anti-Longevity;None;Tbio
IRF1;75;114;135;Chronic Obstructive Pulmonary Disease;127;Yes;None;None;None;Low;Tbio
TET1;75;78;171;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
RORA;77;55;197;Type 2 Diabetes Mellitus;127;Yes;None;Unclear;None;Low;Tchem
REST;78;232;151;Myocardial Infarction;34;Yes;Unclear;Pro-Longevity;None;None;Tbio
CLOCK;79;308;110;Type 2 Diabetes Mellitus;14;Yes;Pro-Longevity;Pro-Longevity;None;Low;Tbio
NR1H4;80;206;55;Non-Alcoholic Fatty Liver Disease;127;No;None;Unclear;Anti-Longevity;High;Tclin
RUNX3;81;167;227;Type 2 Diabetes Mellitus;62;Yes;None;None;None;Low;Tbio
FOXP2;82;153;214;Osteoarthritis;62;Yes;None;Anti-Longevity;None;None;Tbio
TET2;82;3;9;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;Low;Tchem
GABPA;84;226;43;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;Low;Tbio
SOX2;85;75;325;Cancer;62;Yes;None;None;None;None;Tbio
MAF;86;56;215;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
EGR1;87;274;129;Type 2 Diabetes Mellitus;34;Yes;Unclear;None;None;Medium;Tbio
FOXA1;88;158;288;Parkinson Disease;14;Yes;None;Pro-Longevity;Pro-Longevity;Medium to Low;Tbio
TCF7L2;89;16;7;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tbio
NR2F2;90;215;70;Parkinson Disease;407;Yes;None;None;None;Low;Tchem
GATA4;91;84;377;Myocardial Infarction;14;Yes;None;None;Pro-Longevity;Low;Tbio
NR4A2;92;284;111;Parkinson Disease;62;Yes;Pro-Longevity;None;None;Medium;Tchem
FLI1;93;51;346;Type 2 Diabetes Mellitus;62;Yes;None;Pro-Longevity;Anti-Longevity;Low;Tbio
NR1H3;94;133;271;Alzheimer Disease;62;Yes;None;Unclear;Anti-Longevity;Medium;Tchem
THRA;95;184;126;Myocardial Infarction;127;No;None;Unclear;Anti-Longevity;High;Tclin
HNF4G;96;217;99;Alzheimer Disease;127;Yes;None;Unclear;None;None;Tbio
KAT7;97;264;60;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;None;Tbio
STAT4;98;218;109;Alzheimer Disease;127;Yes;None;None;Pro-Longevity;Low;Tchem
RERE;99;183;248;Chronic Obstructive Pulmonary Disease;62;Yes;None;Pro-Longevity;None;None;Tbio
MLXIPL;100;9;324;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
NFIA;101;129;210;Heart Failure;127;Yes;None;Pro-Longevity;None;None;Tbio
RREB1;102;64;20;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
CEBPA;103;95;379;Cancer;34;Yes;Unclear;None;None;Medium to Low;Tbio
GATA3;104;21;329;Cancer;127;Yes;None;Anti-Longevity;None;Medium to Low;Tbio
STAT6;105;52;404;Cancer;127;Yes;None;None;Pro-Longevity;Low;Tchem
GLIS3;106;97;11;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
STAT5A;107;439;87;Cancer;25;Yes;Pro-Longevity;None;Pro-Longevity;Low;Tchem
RARA;108;77;292;Alzheimer Disease;127;No;None;Unclear;Anti-Longevity;High;Tclin
KLF14;109;67;49;Type 2 Diabetes Mellitus;407;No;None;Pro-Longevity;None;None;Tbio
TEAD1;110;299;78;Osteoarthritis;407;Yes;None;None;None;Low;Tchem
MEF2C;111;61;63;Age-Related Macular Degeneration;407;Yes;None;None;None;None;Tbio
PITX2;112;107;21;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
HSF1;113;422;142;Type 2 Diabetes Mellitus;10;Yes;Pro-Longevity;Pro-Longevity;None;Low;Tchem
PRDM1;114;60;467;Cancer;34;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
RBPJ;115;359;48;Cancer;407;Yes;None;None;None;Low;Tchem
SIX1;116;159;350;Benign Prostatic Hyperplasia;127;Yes;None;None;None;None;Tbio
NR1I2;117;288;125;Cancer;127;Yes;None;Unclear;None;Low;Tchem
CASZ1;118;143;15;Ischemic Stroke;127;Yes;None;None;None;None;Tbio
RFX6;118;387;27;Type 2 Diabetes Mellitus;407;Yes;None;Anti-Longevity;None;None;Tbio
L3MBTL3;120;59;101;Alzheimer Disease;407;Yes;None;None;None;Low;Tchem
EGR2;121;276;241;Osteoarthritis;127;Yes;None;None;None;Medium to Low;Tbio
KLF5;122;214;304;Chronic Obstructive Pulmonary Disease;62;Yes;None;Pro-Longevity;None;Medium;Tchem
GATA6;123;287;265;Chronic Obstructive Pulmonary Disease;34;Yes;None;Anti-Longevity;Pro-Longevity;Medium to Low;Tbio
TCF4;124;42;127;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
TCF3;125;128;459;Alzheimer Disease;14;Yes;None;Anti-Longevity;None;Low;Tbio
XBP1;126;312;246;Alzheimer Disease;34;Yes;None;Unclear;Pro-Longevity;Low;Tchem
RUNX2;127;112;74;Osteoarthritis;407;Yes;None;None;None;Low;Tbio
SP1;128;361;244;Cancer;25;Yes;None;Pro-Longevity;None;Low;Tbio
SOX6;129;118;431;Parkinson Disease;62;Yes;None;None;None;None;Tbio
E2F3;130;321;131;Alzheimer Disease;407;Yes;None;None;None;Medium;Tbio
CTCF;131;117;81;Parkinson Disease;407;Yes;None;None;None;None;Tbio
ZBTB20;132;220;235;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
PRDM16;133;47;153;Ischemic Stroke;407;Yes;None;None;None;Low;Tbio
ZBTB38;134;145;61;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
JUND;135;340;300;Cancer;6;Yes;Pro-Longevity;Pro-Longevity;None;Low;Tbio
SOX9;136;98;115;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ARID5B;137;130;89;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Low;Tbio
RXRA;137;199;276;Alzheimer Disease;407;Yes;None;None;None;High;Tclin
PAX8;139;123;353;Cancer;407;Yes;None;None;None;Low;Tchem
TRPS1;140;18;203;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
SKI;140;168;309;Type 2 Diabetes Mellitus;407;Yes;None;Pro-Longevity;None;None;Tbio
GATA2;142;83;396;Chronic Obstructive Pulmonary Disease;127;No;None;Unclear;None;Medium to Low;Tbio
POU5F1;143;231;349;Cancer;127;Yes;None;None;None;Low;Tbio
HLF;144;198;284;Heart Failure;127;Yes;None;Anti-Longevity;None;None;Tbio
KLF6;145;165;439;Cancer;62;Yes;None;Pro-Longevity;None;None;Tbio
LEF1;146;134;121;Chronic Obstructive Pulmonary Disease;127;Yes;None;None;None;Low;Tchem
DOT1L;146;419;191;Myocardial Infarction;407;Yes;None;Anti-Longevity;None;Low;Tchem
SATB2;148;99;512;Cancer;62;Yes;None;Pro-Longevity;None;None;Tbio
GLI2;149;58;200;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tchem
PRRX1;150;148;113;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
ETV4;151;179;83;Benign Prostatic Hyperplasia;407;Yes;None;None;None;Medium to Low;Tbio
DDIT3;152;229;291;Alzheimer Disease;127;Yes;None;None;None;Low;Tbio
ARX;153;241;283;Osteoarthritis;127;Yes;None;Pro-Longevity;None;None;Tbio
POU5F1B;154;246;30;Cancer;407;No;None;Anti-Longevity;None;None;Tbio
SETBP1;155;19;264;Type 2 Diabetes Mellitus;34;Yes;None;None;None;None;Tbio
NR1H2;155;651;39;Alzheimer Disease;407;Yes;None;Unclear;Anti-Longevity;Medium;Tchem
ATF3;157;438;205;Cancer;127;Yes;None;None;None;Medium to Low;Tbio
BCL11B;158;49;602;Cancer;127;Yes;None;None;None;None;Tbio
TRAFD1;159;249;51;Ischemic Stroke;407;Yes;None;None;None;None;Tbio
SNAI1;160;487;222;Type 2 Diabetes Mellitus;34;Yes;None;None;Unclear;None;Tbio
TBX2;160;151;506;Cancer;127;Yes;None;None;None;Low;Tbio
IRF3;162;389;272;Chronic Obstructive Pulmonary Disease;127;Yes;None;None;None;Low;Tbio
BNC2;163;108;199;Cancer;127;Yes;None;None;None;None;Tbio
MEIS1;163;181;382;Type 2 Diabetes Mellitus;407;Yes;None;Anti-Longevity;None;None;Tbio
ZNF462;165;176;132;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
GLI3;165;48;260;Benign Prostatic Hyperplasia;407;Yes;None;None;None;Medium to Low;Tbio
TFAP4;167;460;263;Benign Prostatic Hyperplasia;25;Yes;Anti-Longevity;Anti-Longevity;None;None;Tbio
MECOM;167;20;296;Chronic Obstructive Pulmonary Disease;127;Yes;None;None;None;Medium to Low;Tbio
TWIST2;167;357;314;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
MEF2A;170;518;155;Myocardial Infarction;127;Yes;None;None;None;None;Tbio
IRF5;171;208;466;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
ATF4;172;433;273;Alzheimer Disease;34;Yes;Unclear;Anti-Longevity;None;Medium to Low;Tbio
ZNF652;173;180;141;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
PCGF2;174;476;201;Alzheimer Disease;127;Yes;None;None;None;None;Tbio
NPAS3;175;277;402;Type 2 Diabetes Mellitus;62;Yes;None;Unclear;Anti-Longevity;Low;Tbio
LCORL;176;162;165;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
KLF7;177;346;238;Age-Related Hearing Impairment;127;Yes;None;Pro-Longevity;None;None;Tbio
MNX1;178;330;255;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Medium to Low;Tbio
ZFHX4;178;253;332;Cancer;407;Yes;None;Pro-Longevity;None;None;Tbio
KMT2A;178;30;299;Cancer;407;Yes;None;None;None;Medium;Tchem
HSF2;181;333;253;Chronic Obstructive Pulmonary Disease;5;Yes;None;Pro-Longevity;None;None;Tbio
FOXO4;181;248;516;Cancer;127;Yes;Pro-Longevity;Pro-Longevity;Unclear;None;Tbio
YY1;183;461;259;Cancer;127;Yes;None;None;None;Low;Tbio
NFATC1;184;172;420;Non-Alcoholic Fatty Liver Disease;127;Yes;None;None;None;Low;Tchem
NFAT5;185;230;107;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
PBX1;186;93;505;Cancer;62;Yes;None;Pro-Longevity;None;None;Tbio
OTX2;186;197;531;Age-Related Macular Degeneration;127;Yes;None;Pro-Longevity;None;None;Tbio
TFAP2A;188;202;398;Cancer;127;Yes;None;None;None;Low;Tbio
BACH2;189;80;269;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
TAL1;190;121;229;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
IKZF2;191;250;102;Parkinson Disease;407;Yes;None;None;None;None;Tbio
PIN1;192;506;204;Cancer;127;Yes;None;None;None;Low;Tchem
GLI1;193;185;428;Cancer;407;Yes;None;None;None;Medium;Tchem
GTF2I;194;348;10;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Medium to Low;Tbio
ETS2;195;407;339;Benign Prostatic Hyperplasia;62;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
NFE2L3;196;81;544;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
FOXG1;197;212;159;Alzheimer Disease;407;Yes;None;None;None;Medium to Low;Tbio
HEY2;197;201;170;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
MEOX2;199;371;258;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
REL;200;106;274;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
ZNF217;201;370;267;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
TBPL1;202;360;378;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
ZFPM2;203;57;328;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
TP73;204;396;408;Cancer;14;Yes;Pro-Longevity;None;Anti-Longevity;Low;Tbio
BHLHE40;205;437;337;Alzheimer Disease;62;Yes;None;None;None;Low;Tbio
NR2C2;206;379;266;Cancer;127;Yes;None;Pro-Longevity;None;Medium;Tchem
CDC5L;207;326;66;Alzheimer Disease;407;Yes;None;None;None;Medium to Low;Tbio
IRX1;208;256;137;Myocardial Infarction;407;Yes;None;None;None;None;Tbio
NR2F1;209;269;386;Benign Prostatic Hyperplasia;127;Yes;None;Unclear;None;None;Tbio
XPA;210;242;514;Cancer;62;Yes;Pro-Longevity;Pro-Longevity;None;Low;Tchem
RORB;211;227;176;Age-Related Macular Degeneration;407;No;None;Unclear;None;Low;Tchem
ZNF800;211;339;64;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tdark
ARID2;213;36;370;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
SETDB1;214;283;381;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;None;Tbio
RELB;215;244;426;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
TCF21;216;243;174;Myocardial Infarction;407;Yes;None;None;None;None;Tbio
TFDP1;217;676;149;Alzheimer Disease;34;Yes;None;None;None;None;Tbio
ZNF76;218;375;302;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;None;Tbio
DMRTA2;219;314;108;Heart Failure;407;Yes;None;None;None;None;Tbio
TFE3;220;190;489;Parkinson Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
SALL1;221;194;586;Cancer;127;Yes;None;None;None;None;Tbio
ZGLP1;222;342;84;Type 2 Diabetes Mellitus;407;No;None;Anti-Longevity;None;None;Tdark
HHEX;223;262;168;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
JUNB;224;484;308;Cancer;127;Yes;Pro-Longevity;None;None;Low;Tbio
TCF12;225;120;318;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
NRF1;226;624;75;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
KDM2B;227;469;331;Alzheimer Disease;127;Yes;None;None;None;Low;Tchem
NR2E1;228;556;249;Alzheimer Disease;127;Yes;None;None;None;Medium to Low;Tbio
ZFPM1;229;144;315;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
RFX3;229;347;368;Alzheimer Disease;407;Yes;None;Anti-Longevity;None;None;Tbio
HOXA11;231;126;334;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
SIX6;232;302;163;Alzheimer Disease;127;Yes;None;None;None;None;Tbio
NR5A2;232;268;453;Type 2 Diabetes Mellitus;1161;Yes;None;Pro-Longevity;None;Low;Tchem
PAX4;234;628;96;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
SP8;235;467;262;Benign Prostatic Hyperplasia;62;Yes;None;Pro-Longevity;None;None;Tbio
SNAI2;235;457;371;Cancer;127;Yes;None;None;Unclear;None;Tbio
MYRF;237;39;436;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Medium to Low;Tbio
FOXC1;238;72;406;Cancer;407;Yes;None;None;None;None;Tbio
PAX6;239;74;405;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
CARF;240;485;251;Myocardial Infarction;407;Yes;None;None;None;None;Tbio
IRF7;241;545;295;Age-Related Macular Degeneration;127;Yes;None;None;None;None;Tbio
MYB;242;53;434;Cancer;407;Yes;None;None;None;Low;Tbio
MAFB;242;14;473;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tbio
OVOL1;244;278;212;Osteoarthritis;62;No;None;None;Anti-Longevity;None;Tbio
ARNT2;244;504;341;Chronic Obstructive Pulmonary Disease;407;Yes;Pro-Longevity;Pro-Longevity;None;None;Tbio
CEBPG;246;571;307;Type 2 Diabetes Mellitus;62;Yes;Unclear;None;None;None;Tbio
TFCP2L1;247;409;90;Alzheimer Disease;62;Yes;None;None;None;None;Tbio
MYCL;247;221;633;Cancer;407;Yes;Anti-Longevity;None;Anti-Longevity;None;Tbio
MLX;249;395;364;Type 2 Diabetes Mellitus;127;No;None;Pro-Longevity;None;Low;Tchem
GATA5;250;235;270;Benign Prostatic Hyperplasia;407;No;None;Anti-Longevity;None;None;Tbio
RARG;250;224;281;Alzheimer Disease;407;No;None;Unclear;None;High;Tclin
ZNF664;252;140;366;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tdark
LTF;253;363;150;Alzheimer Disease;407;Yes;None;None;None;Low;Tbio
ZBTB16;253;31;482;Cancer;407;Yes;None;None;None;None;Tbio
HIVEP2;255;258;256;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Medium to Low;Tbio
ZNF285;256;178;338;Alzheimer Disease;407;Yes;None;None;None;None;Tdark
NEUROD1;257;417;103;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tbio
LMX1B;258;228;293;Osteoarthritis;1161;Yes;None;None;None;None;Tbio
ZIC3;259;344;190;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
PBX3;260;440;352;Chronic Obstructive Pulmonary Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
IKZF1;261;13;525;Cancer;407;Yes;None;None;None;Low;Tbio
KDM5B;262;436;458;Cancer;127;Yes;None;Unclear;None;Low;Tchem
PRDM5;263;463;79;Osteoarthritis;407;Yes;None;None;None;None;Tbio
FOXP4;264;445;355;Cancer;127;Yes;None;Anti-Longevity;None;None;Tbio
TERF2;265;740;217;Alzheimer Disease;34;Yes;Anti-Longevity;None;None;Low;Tchem
ZKSCAN1;266;703;104;Alzheimer Disease;34;Yes;None;None;Anti-Longevity;None;Tbio
NFE2L1;266;536;401;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;None;Tbio
PDX1;268;365;189;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
SALL4;269;119;440;Cancer;407;Yes;None;None;None;None;Tbio
HES1;270;408;410;Cancer;127;Yes;None;None;None;Low;Tbio
HOXA9;271;234;589;Cancer;407;Yes;None;None;None;Low;Tbio
ATF6;272;538;417;Type 2 Diabetes Mellitus;62;Yes;None;Anti-Longevity;None;None;Tbio
MYBL2;273;586;340;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
FOXN1;274;219;708;Osteoporosis;62;Yes;Pro-Longevity;None;None;None;Tbio
MBD2;274;432;140;Alzheimer Disease;407;Yes;None;None;None;Low;Tchem
GATA1;276;90;842;Cancer;62;Yes;None;Anti-Longevity;None;None;Tbio
NFIC;277;279;556;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
MYNN;278;374;462;Cancer;127;Yes;None;None;Anti-Longevity;None;Tbio
ETV5;279;66;515;Cancer;407;Yes;None;None;None;Low;Tbio
ZHX2;280;385;202;Atherosclerosis;407;Yes;None;None;None;Medium to Low;Tbio
NR1D1;281;558;287;Cancer;127;Yes;None;Anti-Longevity;None;Low;Tchem
TSHZ2;282;366;228;Type 2 Diabetes Mellitus;62;Yes;None;None;None;Low;Tbio
KLF10;282;552;397;Non-Alcoholic Fatty Liver Disease;407;Yes;Unclear;None;None;None;Tbio
MAFF;284;177;423;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
MXI1;285;414;596;Cancer;25;Yes;None;Unclear;Pro-Longevity;Low;Tbio
POU1F1;286;615;344;Type 2 Diabetes Mellitus;62;Yes;Anti-Longevity;None;None;None;Tbio
NPAS2;286;458;501;Type 2 Diabetes Mellitus;62;Yes;Pro-Longevity;Pro-Longevity;None;None;Tbio
ZBTB7A;288;429;435;Cancer;127;Yes;None;None;None;None;Tbio
FOXQ1;288;520;443;Cancer;127;Yes;None;None;None;None;Tbio
SP4;290;200;668;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
IRF2;291;486;128;Alzheimer Disease;407;Yes;None;None;None;Low;Tbio
FOSL1;292;547;68;Alzheimer Disease;407;Yes;None;None;None;Low;Tbio
ELF3;293;315;557;Cancer;127;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
SIX2;294;309;310;Alzheimer Disease;127;Yes;None;None;None;None;Tbio
ZNF365;294;539;336;Cancer;407;Yes;None;None;None;None;Tbio
DLX2;296;770;106;Alzheimer Disease;127;Yes;None;None;None;None;Tbio
